Date,User,Message
2018-04-10 09:39:09,"권현우","Bubble sort?"
2018-04-10 09:39:14,"영인","merge sort"
2018-04-10 09:39:15,"영인","heap sort"
2018-04-10 09:39:16,"한상민","quick sort"
2018-04-10 09:39:24,"이준섭","Insertion sort"
2018-04-10 09:39:44,"한상민","quick?"
2018-04-10 09:39:45,"영인","quick sort???"
2018-04-10 09:39:46,"이준섭","Quick sort?"
2018-04-10 09:40:00,"영인","nlogn??"
2018-04-10 09:41:42,"정진혁","find the smallest"
2018-04-10 09:42:19,"권현우","3"
2018-04-10 09:42:20,"영인","2"
2018-04-10 09:48:13,"영인","Sorting1"
2018-04-10 09:50:08,"조정훈","sorter"
2018-04-10 09:51:40,"조정훈","new"
2018-04-10 09:52:04,"한상민","Sorter MySorter = new Sorter;"
2018-04-10 09:52:40,"이준섭","Array"
2018-04-10 09:54:30,"조정훈","compare "
2018-04-10 09:56:08,"영인","length of array"
2018-04-10 10:01:36,"영인","count"
2018-04-10 10:02:52,"이준섭","Space character?"
2018-04-10 10:03:00,"Jonathan","Because we didn't declare the length of the array"
2018-04-10 10:18:58,"조정훈","why the starting index isn't 0?"
2018-04-10 10:23:14,"Jonathan","What if index[0] is the smallest number?"
