Date,User,Message
2018-02-28 18:31:09,"윤종욱","윤종욱 joined this chatroom."
2018-02-28 19:01:05,"남재창","Thanks and Welcome! You are the first guy joining in this chat room :)"
2018-02-28 19:44:25,"최우림","최우림 joined this chatroom."
2018-02-28 20:25:06,"Yeun","Yeun joined this chatroom."
2018-02-28 21:21:02,"LMH","LMH joined this chatroom."
2018-02-28 21:23:13,"권현우","권현우 joined this chatroom."
2018-02-28 22:25:46,"정석","정석 joined this chatroom."
2018-03-01 00:47:09,"NYB☆","NYB☆ joined this chatroom."
2018-03-01 01:32:54,"한별","한별 joined this chatroom."
2018-03-01 01:57:20,"서남진","서남진 joined this chatroom."
2018-03-01 06:20:27,"권현우","오늘 수업 있었던걸로 기억하고 있는데, 맞나요?"
2018-03-01 06:20:59,"권현우","잘 기억이 안나네요 ㅠㅠ"
2018-03-01 06:22:52,"남재창","This chat is for the Tuesday/Friday class. So no class today :) Pleae use English as this class is conducted in English.(wink)"
2018-03-01 06:27:48,"권현우","Oh, I'm sorry. Have a nice holiday!"
2018-03-01 09:53:29,"남재창","You too (grin)"
2018-03-01 13:02:45,"조완서","조완서 joined this chatroom."
2018-03-01 18:28:14,"오세현","오세현 joined this chatroom."
2018-03-01 18:54:51,"남재창","In the class, we do labs. So, please bring your laptop. We will install Eclipse and JRE tomorrow."
2018-03-01 19:39:02,"남재창","If you have time, please download Java JDK and Eclipse installation files on your laptop in advance. It may take long time if all students download the same files at the same time. You can check how to download the files in the lab1 PPT file in HisNet. Thanks!"
2018-03-01 19:39:30,"조정훈","조정훈 joined this chatroom."
2018-03-01 19:45:19,"조완서","Thank you professor."
2018-03-01 19:47:06,"남재창","You can just call me JC like 'Thank you JC.' :)"
2018-03-01 19:47:54,"조완서","(굿)(굿)"
2018-03-01 19:48:37,"오세현","Thank you JC :)"
2018-03-01 19:50:06,"남재창","(wow)"
2018-03-01 20:07:41,"김유진","김유진 joined this chatroom."
2018-03-01 20:29:05,"백주열","백주열 joined this chatroom."
2018-03-01 21:38:02,"Jonathan","Jonathan joined this chatroom."
2018-03-01 23:32:16,"이명희","이명희 joined this chatroom."
2018-03-02 00:06:11,"박유경","박유경 joined this chatroom."
2018-03-02 00:08:30,"채지혜","채지혜 joined this chatroom."
2018-03-02 00:49:08,"임수진","임수진 joined this chatroom."
2018-03-02 01:04:41,"김기철","김기철 joined this chatroom."
2018-03-02 03:29:50,"정진혁","정진혁 joined this chatroom."
2018-03-02 09:23:00,"민주","민주 joined this chatroom."
2018-03-02 09:24:29,"한상민","한상민 joined this chatroom."
2018-03-02 09:29:44,"지승윤","지승윤 joined this chatroom."
2018-03-02 09:31:42,"김석진","김석진 joined this chatroom."
2018-03-02 09:37:17,"이수현","이수현 joined this chatroom."
2018-03-02 09:37:35,"권준범","권준범 joined this chatroom."
2018-03-02 09:37:57,"조혜린","조혜린 joined this chatroom."
2018-03-02 09:38:25,"명진","명진 joined this chatroom."
2018-03-02 09:39:42,"이준섭","이준섭 joined this chatroom."
2018-03-02 09:44:09,"Yeun","Hi!"
2018-03-02 09:44:14,"권현우","hello~"
2018-03-02 09:44:14,"Jonathan","Hello"
2018-03-02 09:44:19,"조정훈","hi"
2018-03-02 09:44:21,"Yeun",":"")"
2018-03-02 09:44:22,"이준섭","Hello"
2018-03-02 09:44:22,"김유진","Hi:))"
2018-03-02 09:44:23,"오세현","Hi!"
2018-03-02 09:44:24,"조혜린","hi!"
2018-03-02 09:44:25,"이명희","hi"
2018-03-02 09:44:26,"민주","Hi!!"
2018-03-02 09:44:26,"채지혜","Hi"
2018-03-02 09:44:31,"서남진","Hello"
2018-03-02 09:44:40,"한별","Hello"
2018-03-02 09:44:54,"김수현","김수현 joined this chatroom."
2018-03-02 09:45:01,"김기철","Hello"
2018-03-02 09:45:02,"권현우","its just fine"
2018-03-02 09:45:06,"Jonathan","It's okay"
2018-03-02 09:45:08,"정진혁","fine"
2018-03-02 09:45:09,"Yeun","it's fine"
2018-03-02 09:45:23,"정승영","정승영 joined this chatroom."
2018-03-02 09:46:12,"한상민","ok"
2018-03-02 09:47:02,"정진혁","Can I get access to your lecture note?"
2018-03-02 09:47:23,"Sovan Chhaya","Sovan Chhaya joined this chatroom."
2018-03-02 09:47:29,"Sovan Chhaya","Hi"
2018-03-02 09:47:42,"정승영","any programming language using compiler is mostly HLL"
2018-03-02 09:47:59,"영인","영인 joined this chatroom."
2018-03-02 09:56:23,"권현우","machines that run java code"
2018-03-02 09:56:24,"정진혁","similar to a compiler..?"
2018-03-02 09:56:44,"정승영","not realistic"
2018-03-02 09:56:58,"명진","a computer inside a computer?"
2018-03-02 10:00:39,"정승영","don't need to buy additional hardware"
2018-03-02 10:00:40,"권현우","ad : you can run your code anywhere"
2018-03-02 10:00:52,"조정훈"," disadvantage : make slow down computer"
2018-03-02 10:00:57,"Sovan Chhaya","Gonna be make your machine slow"
2018-03-02 10:04:55,"권현우","no"
2018-03-02 10:04:57,"조정훈","no"
2018-03-02 10:05:00,"Yeun","not yet"
2018-03-02 10:05:08,"Sovan Chhaya","Never"
2018-03-02 10:05:15,"정진혁","nope"
2018-03-02 10:05:19,"오세현","no"
2018-03-02 10:05:19,"채지혜","no"
2018-03-02 10:05:26,"채지혜","no"
2018-03-02 10:05:30,"윤종욱","no"
2018-03-02 10:05:31,"권현우","only windows"
2018-03-02 10:10:06,"권현우","no questions so far"
2018-03-02 10:10:42,"Sovan Chhaya","Not understand too much in this case"
2018-03-02 10:11:26,"권현우","2%"
2018-03-02 10:11:29,"한상민","2%"
2018-03-02 10:11:41,"Yeun","not much"
2018-03-02 10:11:57,"조정훈","java virtual machine part is hard to understand"
2018-03-02 10:14:04,"한상민","Change your mode to viewer"
2018-03-02 10:14:04,"정진혁","get"
2018-03-02 10:14:20,"이준섭","Like include in c?"
2018-03-02 10:14:24,"Sovan Chhaya","Take something inside"
2018-03-02 10:20:46,"영인","declaration"
2018-03-02 10:20:53,"영인","type"
2018-03-02 10:21:41,"권현우","machine"
2018-03-02 10:21:41,"조정훈","turn on"
2018-03-02 10:23:32,"samer","samer joined this chatroom."
2018-03-02 10:25:33,"NYB☆","NYB☆ left this chatroom."
2018-03-02 10:26:22,"NYB☆","NYB☆ joined this chatroom."
2018-03-02 10:31:22,"조정훈","cool"
2018-03-02 10:31:27,"정진혁","not bad"
2018-03-02 10:31:28,"권현우","looks similar to a C program"
2018-03-02 10:31:36,"Sovan Chhaya","Like c"
2018-03-02 10:31:37,"권현우","but only using different ways"
2018-03-02 10:33:04,"정진혁","bytecode?"
2018-03-02 10:36:56,"이준섭","Isnt bytecode like an intermediate language that looks like assembly language?"
2018-03-02 12:01:16,"남재창","Thanks, 이준섭 for the interesting question! Bytecode is not assembly lanbuage as I showed the broken text in text edotor when I open OurFirstJavaProgram.class file."
2018-03-02 12:02:32,"남재창","However, as I said we can get Assembly code from a class file by using ""javap -c"" command."
2018-03-02 12:03:30,"남재창","Thanks all for your attention! How was the today's course style? Could it be good to use Kakao open chat in the class? Please, give your feedback!"
2018-03-02 12:11:37,"윤종욱","Good!  could you please use a mic?(방긋)"
2018-03-02 12:25:06,"오세현","I think it's good!"
2018-03-02 12:26:25,"정진혁","Using this talk is much fun!
 Thank you for interacting with us, professor!:)"
2018-03-02 12:29:02,"권현우","I agree with 진혁, since I'm a shy guy, it helps me to participate more in the class. I hope we could keep this way more."
2018-03-02 12:30:02,"권현우","Thank you for considering us, and for your commitment to the class JC :)"
2018-03-02 13:04:43,"조정훈","It was good. Thank you for your considering JC"
2018-03-02 13:20:38,"남재창","OK, 종욱. I'll use a mic in the class. Thanks for the feedback. Using a mic will be helpful for students who have a seat in the back side.  Thanks all who agreed on using the open chat."
2018-03-02 13:23:07,"남재창","While you are reviwing Lecture 1-1 and 1-2, put some answers in Exam Questions in the lecture note. By doing that, you can also benenifit other students. I can correct your answers if there are misunderstanding about any concepts we learned! Hope to enjoy the first weekend of this semester."
2018-03-02 13:23:50,"남재창","Any qeustions and feedbacks are always welcome!"
2018-03-02 17:28:52,"조정훈","JC, will you cover the ppts in class? "
2018-03-02 18:06:24,"남재창","Yes. I will cover the ppts for the summary purpose whenver each topic ends in the lecture. When we study java code, I'll direct you to the related slides by links in the lecture note. I already put some links for certain topics. There are some contents that are not in ppts as well. Thanks!"
2018-03-02 18:25:45,"조정훈","okay. Thank you, JC!"
2018-03-06 09:23:32,"Sovan Chhaya","I'm not clear with How java program run on a computer"
2018-03-06 09:34:00,"정진혁","Good!"
2018-03-06 09:34:05,"조완서","godd"
